paper,term,text,link
TheSun,Boris,Live NOW: Boris Johnson faces Sir Keir Starmer at PMQs amid Greensill investigation ,https://t.co/wVCfb96qAy 
TheSun,Boris,Live at 12:00: Boris Johnson faces Sir Keir Starmer at PMQs amid Greensill investigation ,https://t.co/wVCfb96qAy 
TheSun,Boris,Labour to force vote in Parliament on Boris Johnson's plans to cut the Army ,https://t.co/wg6bqMCyw0
TheSun,Boris,All adults in the UK aged over 50 offered first dose of Covid vaccine as Boris Johnson hails 'significant milestone' ,https://t.co/gbzRf6PdJe
TheSun,Boris,Boris Johnson says lockdown not vaccine rollout has slashed coronavirus deaths ,https://t.co/7MyHUW6vk4
Telegraph,Boris,"🔴  Labour will on Wednesday use an opposition day motion to question the Tories over its 2019 election manifesto pledge, in which Boris Johnson said he would “not be cutting the armed services in any form” ",https://t.co/TyzNIeWcPN
Telegraph,Boris,"🔴 EXCLUSIVE: More than 60 restaurant owners, nightclub operators and other hospitality figures have told Boris Johnson that they will not force customers to show Covid passports ",https://t.co/2IJ1wttn3f
Telegraph,Boris,"The debate on this week's #PlanetNormal podcast: Vaccine passports.

Co-host @liamhalligan tells @allisonpearson that bungling vaccine certificates could mean serious political trouble for Boris Johnson

Listen here 👉 ",https://t.co/EBw3EnT09x 
Telegraph,Boris,"🔴 LIVE: Boris Johnson warns infections will rise as lockdown eases - but sees no reason to change roadmap

Follow all the latest updates on our coronavirus liveblog here 👇
",https://t.co/Vhi1sXvkpz
Guardian,Covid,100 days to Tokyo: Pessimism and fear remain in Japan as Games loom | Justin McCurry ,https://t.co/yauzHFzQDB
Guardian,Covid,Reopened pubs and restaurants in England see drinks sales soar ,https://t.co/XxYbAe1bdJ
Guardian,Covid,British Land bets on open-air retail parks to lure shoppers after Covid ,https://t.co/gQxX0AllsM
Guardian,Covid,Welcome to the new colonialism: rich countries sitting on surplus vaccines | Akin Olla ,https://t.co/deZfEXsRSk
Guardian,Covid,"Apparently just by talking about it, I’m super-spreading long Covid | George Monbiot ",https://t.co/8X9zwHK5S3
Guardian,Covid,Foxtons faces backlash by shareholders over CEO’s near-£1m bonus ,https://t.co/4vNXVOa50T
Guardian,Covid,Young people: how have you been affected by the pandemic? ,https://t.co/6XXaAUQWDx
Guardian,Covid,San Francisco has money and a new plan to tackle homelessness. Will it finally change things? ,https://t.co/SQuaEiDBYl
Guardian,Covid,"Australia should make Covid vaccine rollout ‘top priority’, Anthony Fauci says ",https://t.co/w1FOZOQWer
DailyMailUK,Covid,Surge testing begins in London after one case of South African variant was discovered ,https://t.co/IRTLyp2Wjr
DailyMailUK,Covid,Britain's daily Covid cases fall by 10% in a week in sign Easter DIDN'T cause infections to spike ,https://t.co/tUEtkRUlcA
DailyMailUK,Covid,"Nine out of 10 over-80s still have Covid antibodies six weeks after a single vaccine dose, study finds ",https://t.co/HHM962U2jw
DailyMailUK,Covid,"Covid antibody levels have faded in over-65s, ONS data shows ",https://t.co/zeCu3yqpvo
DailyMailUK,Covid,"Government WILL try to make Covid vaccines COMPULSORY for care home staff, Matt Hancock confirms ",https://t.co/VXN20jPbmd 
DailyMailUK,Covid,"Nearly a quarter of registered Covid deaths are NOT caused by the virus, new statistics show ",https://t.co/ZtWBxycZQe
DailyMailUK,Covid,"Local Covid restrictions are needed to curb spread of South African variant, scientists say ",https://t.co/nVuQHiZnuF
DailyMailUK,Covid,Covid test centres in Wandsworth and Lambeth are fully booked for TWO WEEKS ,https://t.co/LLMN0WGsmf
DailyMailUK,Covid,"Just 175 Covid patients are now being admitted to hospital every day in England, data shows ",https://t.co/FPiiu3jWNT 
FT,Covid,Covid vaccines show government can be a force for good ,https://t.co/x58ovar1EU  | opinion
FT,Covid,Why we shouldn’t worry about Covid vaccine blood clots ,https://t.co/d0hONF1M5j  | opinion
FT,Covid,India seeks vaccine boost with Russian jab deal as Covid cases soar ,https://t.co/bfu3DBsjHO
FT,Covid,Scientists test the risks and rewards of mixing Covid shots ,https://t.co/uqwNQfCM2u
FT,Covid,Private equity houses target Japan as Covid shadow extends ,https://t.co/a7p8BgYzVp  | opinion
FT,Covid,Latin America needs better leaders after Covid ,https://t.co/Ab739QqFi0  | opinion
FT,Covid,Surge testing launched in south London to tackle fresh Covid outbreak ,https://t.co/Xh1o7V9lEM
FT,Covid,Third Covid wave pushes Poland’s health system to limits ,https://t.co/VHLtdrGPTJ
FT,Covid,Covid jabs to go on offer to under-50s in UK ,https://t.co/K35HoUsmvP
FT,Covid,"Kent Covid variant no more severe, studies show ",https://t.co/6YXHqNzOgW
TheSun,Covid,UK has lowest Covid cases in Europe amid calls for lockdown to be eased faster ,https://t.co/zuXDSjDOWh
TheSun,Covid,"Covid deaths plunge by 16% in a week with 38 fatalities and 2,491 cases ",https://t.co/AUj9CoJ2TF 
TheSun,Covid,Dr Hilary warns GMB viewers third Covid wave is coming as pandemic isn’t over yet ,https://t.co/G5N6zUzrGa
TheSun,Covid,Covid tests for holidaymakers slashed to £60 this summer - saving families hundreds of pounds ,https://t.co/seMg9pKH6b
TheSun,Covid,Greece pushing mass vaccinations on islands but holidays are at risk as country is struggling with Covid cases ,https://t.co/NsajFhs2Pk
TheSun,Covid,Surge Covid testing extended in London to stop spread of South African variant ,https://t.co/zibawq0aYm 
TheSun,Covid,Brits 'nervous' about returning to offices after Covid lockdown ,https://t.co/OtrvFpu9zK
TheSun,Covid,"Taking two different vaccines could give better protection against new Covid variants, experts believe ",https://t.co/OmiOV9G902
TheSun,Covid,"Quarter of virus deaths in Britain not caused by Covid, official figures show ",https://t.co/t0L7D9tQRO
TheSun,Covid,Brits under-30 may miss out on one-shot Covid vaccine as Johnson &amp; Johnson jab probed over blood clot fears ,https://t.co/DxnhVUAqZf
Telegraph,Covid,"📌 ""The vaccines have worked their miracles and the deaths and hospitalisations we have sadly seen have bought us a large degree of collective natural immunity. 

""It’s time to have fun again"" | Writes @andrew_lilico ",https://t.co/X3u9MQk4cA
Telegraph,Covid,"In 2020, 40,000 fewer patients than we would have expected started cancer treatment ",https://t.co/NnuuRKcuDm
Telegraph,Covid,"🚨 The EU Commission will not renew AstraZeneca and Johnson &amp; Johnson contracts

",https://t.co/P6rt9VImAy
Telegraph,Covid,"Men, obese people, high-risk workers and ethnic minorities should be targeted in the next phase of the vaccine rollout ",https://t.co/Airsx2iQDr
Telegraph,Covid,"The Queen is not eligible to be in a support bubble because she does not live on her own, meaning the only person who could sit with her during the service would be a member of her Windsor Castle staff ",https://t.co/OuYMYFqyz7
Telegraph,Covid,"📉 Almost a quarter of Covid deaths are people who are not dying from the disease

📊 23% of Covid deaths registered are now people who have died ""with"" the virus rather than ""from"" it

📉 Covid deaths make up 4.9% of deaths registered in England and Wales ",https://t.co/W7Zdajjfqe
Telegraph,Covid,'The light at the end of the tunnel is now clearly in sight. Let's not make the rest of the journey gloomier than it needs to be' I Writes @sarahknapton ,https://t.co/sn9H3hphFr
Guardian,America,"Four Hundred Souls, edited by Ibram X Kendi and Keisha N Blain review – a resounding history of African America ",https://t.co/OkzetOpCQ5
Guardian,America,‘Truth will prevail’: Matt Gaetz takes break from scandal to speak at Trump club ,https://t.co/u0n6HFK768
Guardian,America,"Lost Prince album, Welcome 2 America, to be released in July ",https://t.co/R0q1VriRTO
Guardian,America,‘It has never been more pertinent’ – Margaret Atwood on the chilling genius of Laurie Anderson’s Big Science ,https://t.co/NlRqumS5VJ
DailyMailUK,America,"Yes we can! America's first black President Barack Obama and First Lady Michelle on a visit to Buckingham Palace in 2009 

See more: ",https://t.co/JnEzMm7bzi 
DailyMailUK,America,"Brave new world: The Queen and Prince Philip meet America’s charismatic new young President John F. Kennedy and his glamorous wife Jackie in 1961

See more: ",https://t.co/JnEzMm7bzi 
TheSun,America,RAF jets scramble to Romania to ward off Putin threat as Russia vows to retaliate against ‘enemy’ America over Ukraine ,https://t.co/5lRzhRb6Vf
Telegraph,America,💉The bumpy ride the AstraZeneca vaccine has had in Europe (and North America) has much more to do with the different ways in which regulators approach evidence and judge risk than politics ,https://t.co/Z5GdW61OIB
Telegraph,America,The bumpy ride the AstraZeneca vaccine has had in Europe (and North America) has much more to do with the different ways in which regulators approach evidence and judge risk than politics ,https://t.co/2810jsvmDn
Telegraph,America,"There have been 14 occupants of the White House while Prince Philip was consort to the Queen.

He was remembered for his dignity, commitment to duty and steadfast support of the monarch, but also for his energy, wit and charm

",https://t.co/HbVS8BcvB0
Telegraph,America,"🇺🇸 'A heck of a guy': Joe Biden, Barack Obama and Donald Trump have led US tributes to the Duke of Edinburgh 

",https://t.co/HbVS8Bu6sy
Telegraph,America,"'It’s not just the snobbiness, but the misconception that America is a cultural black hole.' | Writes @TamaraHinson ",https://t.co/AEgIlfjjhA
Telegraph,America,Official MAGA hats are on sale again and Donald Trump already has an $85 million war chest ,https://t.co/EEF2SZYPLY
Guardian,Racism,Anita Sethi: 'I wanted something joyous to come out of this horrific experience' ,https://t.co/kSQvXn5GRE
Guardian,Racism,‘Government-sanctioned racism’: Pasifika in New Zealand call for apology for Dawn Raid policy ,https://t.co/7KhgP99oB0
Guardian,Racism,The Sewell report cited my work – just not the parts highlighting structural racism | Michael Marmot ,https://t.co/Nn0NPpP4bz
DailyMailUK,Racism,Dr Tony Sewell is 'fairly thick-skinned' as he defends controversial racism report that made the left furious ,https://t.co/1QbJKXcgRb
TheSun,Racism,"Parents accuse nursery of racism after teachers 'feed white children but make black kids wait'
 ",https://t.co/K8s3Cs5eE4
Telegraph,Racism,"'Reasonable people will look at this report and see this isn’t a denial of racism – but an attempt to use evidence to help people and overcome disparities in a way that works,' says Dr Tony Sewell ",https://t.co/Av5GlMMGYJ
